UserId,Skills,YearsOfExperience,EnglishLevel
681426,"sql server, javascript, node.js, mongodb, react.js, express.js, entity framework, redux, ado.net, c#, graphql, react native",0,0
644343,"javascript, html, rest api, entity framework, c#, mvc 4 & 5, sql query, .net",13,3
671659,"android, sql, scrum, javascript, python, css3, r programming, jstl, java, react native",5,0
645655,"sql, python, excel, data analysis, statistics, etl",4,3
680547,"javascript, laravel, css3, docker, embedded systems, php, jquery",2,4
671304,"web development, delphi, web design responsive, 3d studio max html5, vba, script logic, php",2,0
533361,"ruby on rails, javascript, python, product management, customer success, c#",13,0
678264,"wordpress, digital marketing, social media coordinator, content marketing, community manager, writing",2,0
670692,"javascript, spring, jsf, jsp, hibernate, ejb, xml, spring mvc, junit, sun certified java programmer, struts, unix, subversion (tortoisesvn), spring boot, hadoop, jms, e-commerce, architecture, xsl, archlinux, estimation, coding and modularization, mapreduce, spark, solaris, apache tomcat, apache kafka, arcgis, hive, sqoop, mel scripting, jsp and servlets, database acces, eclipse, .net",10,0
663405,"sql server, jpa, spring boot, rest api, java, git, aws",5,0
654712,"sql, javascript, html5, web development, css3, mongodb, npm, rest api, scss, vue.js, web server, git flow, angular, php, git",7,0
674928,"pmi, microsoft office, lean manufacturing, six sigma, pmbok, quality assurance, problem solving, management, project management professional, process improvement, scrum fundamentals certified credential, scrum master certified, supply chain",8,0
639693,"sql server, software developer, dedication to getting facts right, remote work, x++, microsoft axapta x++, .net",9,0
678386,"sql, javascript, node.js, mongodb, vue.js, typescript, meteor, rabbit mq, iot, angular, php, java, git",4,0
676018,"javascript, mongodb, web api, typescript, sqlite, entity framework, dapper, c#, angular, .net",4,3
669010,"ruby on rails, javascript, bootstrap, postgresql, github, bitbucket, jira, rest api, elasticsearch, postman, spree commerce, bootstrap templates, basecamp",3,0
679405,"python, docker, git",3,0
677056,"sql server, json, visual basic, asp, jira, data integration - enterprise, typescript, entity framework, c#, dotnetnuke, mel scripting, ajax, asp.net ajax control toolkit, database acces, angular, jquery, .net",5,3
635340,"sql server, javascript, entity framework, c#, jquery, .net",6,0
645747,"wordpress, laravel, english, html5, sharepoint, php, java",5,2
681413,"swift, agile development methodology, objective-c, mobile application development, react native",7,0
641084,"html5, postgresql, pl/sql, crystal reports, oracle db, oracle application-plsql, etl, bi architecture, linux",11,0
649930,"sql server, javascript, mvc, html5, json, pl/sql, react.js, oracle db, sharepoint, rest api, vss, certified scrum master, c#, microsoft certified professional, angular, jquery, aws, .net",14,4
635530,"sql, sql server, windows, unix, virtualization, oracle db, my sql, database design, business intelligence, storage, database tuning",14,0
641398,"ruby on rails, javascript, python, web development, machine learning, hybrid app, nlp, progressive web apps, angular, aws",6,3
649274,"android, ruby on rails, javascript, postgresql, swift, my sql, php, java",8,3
664758,"sql, ruby on rails, javascript, python, html5, node.js, docker, devops, django, java",5,0
