UserId,Skills,YearsOfExperience,EnglishLevel,UsersPosition
636500,"digital art, after effects, premiere, ux, digital marketing, ilustrator, video production, art direction, digital design, innovation, advertising, presentation, typography, app design, corporate communication, innovation management, photoshop",9,0,Art Director/Designer
655843,"javascript, hibernate, excel, junit, 3d studio max html5, microsoft powerpoint, google adwords, architecture, cassandra, opencv, archlinux, matlab, bemcss, cisco certified networking associate, android api, labview, cisco wireless technologies, .net compact framework, django rest, dba oracle, robotics",3,0,Software developer
639723,"elixir, tdd, ruby on rails, python, software engineering, devops, debian, agile methodologies, django, remote work, linux",6,0,Software Engineering
670895,web development,12,0,Web Designer
662150,"javascript, wordpress, laravel, html, css, node.js, bash script, react.js, npm, mysql, express.js, webpack, redux, es6, unit testing, psd-2-html, ci/cd automation, php, git, aws, react native",8,3,Frontend Developer
670716,"python, postgresql, ireport, node.js, jboss, software development, react.js, oracle db, tomcat server, spring boot, rest api, etl, flask, restify, redux, pentaho data integration, flexbox, sqlalchemy, linux, backend development, graphql, angular, java, git, react native",11,3,Full Stack Developer
657534,"python, microsoft office, postgresql, delphi, mongodb, analysis, servlets, docker, rest api, django, problem solving, go lang, flask, network infrastructure, technical support, windows server administration, linux, aws, experience working for a startup company",7,3,Python/Django Developer
664810,"scrum, javascript, uml, firebird, delphi, itil, firewall, vmware, debian, oracle db, cobit, my sql, leadership, centos, hyper-v, sonicwall, vpn, bi, fedora, sybase, it management, system analysis, digital ocean, network administration, fast learning, database administration, squid proxy, System Administration, php, aws",16,2,Experience in systems analysis and IT governance.
638450,"sql, javascript, python, spring, hibernate 3 and 4, c++, c for microcontroller, electronic, html5, postgresql, css3, node.js, xml, j2ee, react.js, oracle db, jee, rest api, sql and oracle pl/sql developer, my sql, front end, jdbc, typescript, express.js, artificial intelligence, machine learning, ielts band 7, embedded systems, electron.js, jdbc, linux, backend development, mechatronics, php, java",14,3,Senior Software Engineer
655086,"sql server, javascript, web development, xml, apache, software development, software engineering, jenkins, xen, debian, programming, databases, rest api, data integration - enterprise, centos, postfix, xslt, tsql, linux, php, java, aws, .net",9,3,Software Engineer @ Telenor 
